"customer_id";"customer_name";"email";"phone";"city";"state";"signup_date";"customer_rating"
1;"Riya Gupta";"customer1@example.com";"9965926643";"Lucknow";"Uttar Pradesh";"2023-05-10";3.6
2;"Saanvi Mehta";"customer2@example.com";"not_provided";"Mumbai";"Maharashtra";"2022-05-04";4.5
3;"Kiara Malhotra";"customer3@example.com";"9213520650";"Surat";"Gujarat";"2022-09-13";2.8
4;"Krishna Nair";"customer4@example.com";"9348874375";"Delhi";"Delhi";"2023-10-21";4.5
5;"Vihaan Verma";"customer5@example.com";"9797814961";"Kolkata";"West Bengal";"2022-05-23";3.8
6;"Vihaan Patel";"customer6@example.com";"9324817897";"Lucknow";"Uttar Pradesh";"2022-08-01";4.1
7;"Krishna Verma";"customer7@example.com";"9919420805";"Nagpur";"Maharashtra";"2022-01-07";2.3
8;"Anika Kumar";"customer8@example.com";"9265073049";"Kolkata";"West Bengal";"2022-04-16";1.8
9;"Arjun Nair";"customer9@example.com";"9320527078";"Kolkata";"West Bengal";"2023-04-20";3.6
10;"Sai Kumar";"customer10@example.com";"not_provided";"Bangalore";"Karnataka";"2022-11-26";1.8
11;"Vivaan Rao";"not_provided";"9672274480";"Chennai";"Tamil Nadu";"2023-01-24";4.5
12;"Myra Joshi";"customer12@example.com";"9189414765";"Ahmedabad";"Gujarat";"2023-07-17";3.9
13;"Myra Reddy";"customer13@example.com";"9482720989";"Delhi";"Delhi";"2022-04-17";2.9
14;"Ishaan Verma";"customer14@example.com";"9993734534";"Nagpur";"Maharashtra";"2022-11-02";1.8
15;"Riya Singh";"customer15@example.com";"9160055743";"Ahmedabad";"Gujarat";"2023-10-09";2.7
16;"Krishna Chopra";"customer16@example.com";"9479936793";"Bangalore";"Karnataka";"2022-10-21";4.3
17;"Riya Chopra";"customer17@example.com";"9611459986";"Surat";"Gujarat";"2022-01-03";2.2
18;"Myra Patel";"customer18@example.com";"9837251323";"Kolkata";"West Bengal";"2022-01-12";3.5
19;"Ishaan Malhotra";"customer19@example.com";"9160435788";"Mumbai";"Maharashtra";"2022-11-18";1.4
20;"Arjun Joshi";"customer20@example.com";"9816599798";"Mumbai";"Maharashtra";"2023-01-25";2.6
21;"Reyansh Joshi";"customer21@example.com";"9244485128";"Bangalore";"Karnataka";"2023-11-12";2.5
22;"Myra Rao";"customer22@example.com";"9316123688";"Nagpur";"Maharashtra";"2022-06-21";3.0
23;"Krishna Kumar";"customer23@example.com";"9759962945";"Jaipur";"Rajasthan";"2023-04-24";1.9
24;"Ananya Kumar";"customer24@example.com";"9782177210";"Mumbai";"Maharashtra";"2023-02-27";4.0
25;"Sai Das";"customer25@example.com";"9140218011";"Surat";"Gujarat";"2022-12-07";2.2
26;"Arjun Malhotra";"customer26@example.com";"9131935603";"Mumbai";"Maharashtra";"2022-03-07";2.4
27;"Kabir Chopra";"not_provided";"9750938982";"Chennai";"Tamil Nadu";"2023-02-06";3.8
28;"Kiara Nair";"customer28@example.com";"9541883922";"Jaipur";"Rajasthan";"2023-07-30";3.5
29;"Saanvi Verma";"customer29@example.com";"9708912173";"Ahmedabad";"Gujarat";"2023-04-22";2.5
30;"Aarav Kumar";"customer30@example.com";"9767259835";"Lucknow";"Uttar Pradesh";"2023-06-14";3.2
31;"Riya Verma";"customer31@example.com";"9886653861";"Chennai";"Tamil Nadu";"2022-03-06";4.3
32;"Aarav Nair";"customer32@example.com";"9413650173";"Surat";"Gujarat";"2023-01-28";4.0
33;"Reyansh Patel";"customer33@example.com";"9585077110";"Mumbai";"Maharashtra";"2022-09-04";1.6
34;"Riya Mehta";"customer34@example.com";"9998820438";"Ahmedabad";"Gujarat";"2022-10-13";1.2
35;"Navya Iyer";"customer35@example.com";"9829068084";"Mumbai";"Maharashtra";"2022-08-16";1.8
36;"Krishna Chopra";"customer36@example.com";"9964348740";"Nagpur";"Maharashtra";"2023-08-03";2.0
37;"Sai Malhotra";"not_provided";"9227961025";"Lucknow";"Uttar Pradesh";"2022-07-04";4.6
38;"Saanvi Patel";"customer38@example.com";"9168000193";"Pune";"Maharashtra";"2022-02-14";1.4
39;"Vivaan Singh";"customer39@example.com";"9989530649";"Bangalore";"Karnataka";"2022-01-19";1.7
40;"Sai Sharma";"customer40@example.com";"9641378645";"Jaipur";"Rajasthan";"2022-10-06";1.8
41;"Vihaan Singh";"customer41@example.com";"9545495271";"Jaipur";"Rajasthan";"2022-05-29";3.3
42;"Kabir Kumar";"customer42@example.com";"9820824119";"Bangalore";"Karnataka";"2023-06-30";3.0
43;"Aditya Reddy";"customer43@example.com";"9571987297";"Mumbai";"Maharashtra";"2022-06-23";3.7
44;"Riya Rao";"customer44@example.com";"9947719500";"Kolkata";"West Bengal";"2022-09-19";1.2
